Surah Name,Verse Translation,Number Chapter and Verse,Cleaned Text,Stemmed Text,Lemmatized Text
Surah Ash-Shu'ara',"“No reward do I ask of you for it (my Message of Islamic Monotheism), my reward is only from the Lord of the ‘Alamin (mankind, jinns and all that exists).",26:180,reward ask message islamic monotheism reward lord alamin mankind jinns exists,reward ask messag islam monoth reward lord alamin mankind jinn exist,reward ask message islamic monotheism reward lord alamin mankind jinns exists
Surah Ash-Shu'ara',"“Give full measure, and cause no loss (to others).",26:181,give full measure cause loss others,give full measur caus loss other,give full measure cause loss others
Surah Ash-Shu'ara',“And weigh with the true and straight balance.,26:182,weigh true straight balance,weigh true straight balanc,weigh true straight balance
Surah Ash-Shu'ara',"“And defraud not people by reducing their things, nor do evil, making corruption and mischief in the land.",26:183,defraud people reducing things evil making corruption mischief land,defraud peopl reduc thing evil make corrupt mischief land,defraud people reducing thing evil making corruption mischief land
Surah Ash-Shu'ara',“And fear Him Who created you and the generations of the men of old.”,26:184,fear created generations men old,fear creat gener men old,fear created generation men old
Surah Ash-Shu'ara',They said: “You are only one of those bewitched!,26:185,said one bewitched,said one bewitch,said one bewitched
Surah Ash-Shu'ara',"“You are but a human being like us and verily, we think that you are one of the liars!",26:186,human like us verily think one liars,human like us verili think one liar,human like u verily think one liar
Surah Ash-Shu'ara',"“So cause a piece of the heaven to fall on us, if you are of the truthful!”",26:187,cause piece heaven fall us truthful,caus piec heaven fall us truth,cause piece heaven fall u truthful
Surah Ash-Shu'ara',He said: “My Lord is the Best Knower of what you do.”,26:188,said lord best knower,said lord best knower,said lord best knower
Surah Ash-Shu'ara',"But they belied him, so the torment of the day of shadow (a gloomy cloud) seized them, indeed that was the torment of a Great Day.",26:189,belied torment day shadow gloomy cloud seized indeed torment great day,beli torment day shadow gloomi cloud seiz inde torment great day,belied torment day shadow gloomy cloud seized indeed torment great day
Surah Ash-Shu'ara',"Verily, in this is indeed a sign, yet most of them are not believers.",26:190,verily indeed sign yet believers,verili inde sign yet believ,verily indeed sign yet believer
Surah Ash-Shu'ara',"And verily! Your Lord, He is indeed the All-Mighty, the Most Merciful.",26:191,verily lord indeed allmighty merciful,verili lord inde allmighti merci,verily lord indeed allmighty merciful
Surah Ash-Shu'ara',"And truly, this (the Qur’an) is a revelation from the Lord of the ‘Alamin (mankind, jinns and all that exists),",26:192,truly quran revelation lord alamin mankind jinns exists,truli quran revel lord alamin mankind jinn exist,truly quran revelation lord alamin mankind jinns exists
Surah Ash-Shu'ara',Which the trustworthy Ruh [Jibrael (Gabriel)] has brought down;,26:193,trustworthy ruh jibrael gabriel brought,trustworthi ruh jibrael gabriel brought,trustworthy ruh jibrael gabriel brought
Surah Ash-Shu'ara',"Upon your heart (O Muhammad ) that you may be (one) of the warners,",26:194,upon heart muhammad may one warners,upon heart muhammad may one warner,upon heart muhammad may one warner
Surah Ash-Shu'ara',In the plain Arabic language.,26:195,plain arabic language,plain arab languag,plain arabic language
Surah Ash-Shu'ara',"And verily, it (the Qur’an, and its revelation to Prophet Muhammad ) is (announced) in the Scriptures [i.e. the Taurat (Torah) and the Injeel (Gospel)] of former people.",26:196,verily quran revelation prophet muhammad announced scriptures ie taurat torah injeel gospel former people,verili quran revel prophet muhammad announc scriptur ie taurat torah injeel gospel former peopl,verily quran revelation prophet muhammad announced scripture ie taurat torah injeel gospel former people
Surah Ash-Shu'ara',Is it not a sign to them that the learned scholars (like ‘Abdullah bin Salam who embraced Islam) of the Children of Israel knew it (as true)?,26:197,sign learned scholars like abdullah bin salam embraced islam children israel knew true,sign learn scholar like abdullah bin salam embrac islam children israel knew true,sign learned scholar like abdullah bin salam embraced islam child israel knew true
Surah Ash-Shu'ara',"And if We had revealed it (this Qur’an) unto any of the non-Arabs,",26:198,revealed quran unto nonarabs,reveal quran unto nonarab,revealed quran unto nonarabs
Surah Ash-Shu'ara',"And he had recited it unto them, they would not have believed in it.",26:199,recited unto would believed,recit unto would believ,recited unto would believed
Surah Ash-Shu'ara',"Thus have We caused it (the denial of the Qur’an) to enter the hearts of the Mujrimun (criminals, polytheists, sinners, etc.).",26:200,thus caused denial quran enter hearts mujrimun criminals polytheists sinners etc,thu caus denial quran enter heart mujrimun crimin polytheist sinner etc,thus caused denial quran enter heart mujrimun criminal polytheist sinner etc
Surah Ash-Shu'ara',They will not believe in it until they see the painful torment;,26:201,believe see painful torment,believ see pain torment,believe see painful torment
Surah Ash-Shu'ara',"It shall come to them of a sudden, while they perceive it not;",26:202,shall come sudden perceive,shall come sudden perceiv,shall come sudden perceive
Surah Ash-Shu'ara',Then they will say: “Can we be respited?”,26:203,say respited,say respit,say respited
Surah Ash-Shu'ara',Would they then wish for Our Torment to be hastened on?,26:204,would wish torment hastened,would wish torment hasten,would wish torment hastened
Surah Ash-Shu'ara',"Tell Me, if We do let them enjoy for years,",26:205,tell let enjoy years,tell let enjoy year,tell let enjoy year
Surah Ash-Shu'ara',And afterwards comes to them that (punishment) which they had been promised!,26:206,afterwards comes punishment promised,afterward come punish promis,afterwards come punishment promised
Surah Ash-Shu'ara',All that with which they used to enjoy shall not avail them.,26:207,used enjoy shall avail,use enjoy shall avail,used enjoy shall avail
Surah Ash-Shu'ara',"And never did We destroy a township, but it had its warners",26:208,never destroy township warners,never destroy township warner,never destroy township warner
Surah Ash-Shu'ara',"By way of reminder, and We have never been unjust.",26:209,way reminder never unjust,way remind never unjust,way reminder never unjust
Surah Ash-Shu'ara',"And it is not the Shayatin (devils) who have brought it (this Qur’an) down,",26:210,shayatin devils brought quran,shayatin devil brought quran,shayatin devil brought quran
Surah Ash-Shu'ara',"Neither would it suit them, nor they can (produce it).",26:211,neither would suit produce,neither would suit produc,neither would suit produce
Surah Ash-Shu'ara',"Verily, they have been removed far from hearing it.",26:212,verily removed far hearing,verili remov far hear,verily removed far hearing
Surah Ash-Shu'ara',So invoke not with Allah another ilah (god) lest you be among those who receive punishment.,26:213,invoke allah another ilah god lest among receive punishment,invok allah anoth ilah god lest among receiv punish,invoke allah another ilah god lest among receive punishment
Surah Ash-Shu'ara',And warn your tribe (O Muhammad ) of near kindred.,26:214,warn tribe muhammad near kindred,warn tribe muhammad near kindr,warn tribe muhammad near kindred
Surah Ash-Shu'ara',And be kind and humble to the believers who follow you.,26:215,kind humble believers follow,kind humbl believ follow,kind humble believer follow
Surah Ash-Shu'ara',"Then if they disobey you, say: “I am innocent of what you do.”",26:216,disobey say innocent,disobey say innoc,disobey say innocent
Surah Ash-Shu'ara',"And put your trust in the All-Mighty, the Most Merciful,",26:217,put trust allmighty merciful,put trust allmighti merci,put trust allmighty merciful
Surah Ash-Shu'ara',Who sees you (O Muhammad ) when you stand up (alone at night for Tahajjud prayers).,26:218,sees muhammad stand alone night tahajjud prayers,see muhammad stand alon night tahajjud prayer,see muhammad stand alone night tahajjud prayer
Surah Ash-Shu'ara',And your movements among those who fall prostrate (along with you to Allah in the five compulsory congregational prayers).,26:219,movements among fall prostrate along allah five compulsory congregational prayers,movement among fall prostrat along allah five compulsori congreg prayer,movement among fall prostrate along allah five compulsory congregational prayer
Surah Ash-Shu'ara',"Verily! He, only He, is the All-Hearer, the All-Knower.",26:220,verily allhearer allknower,verili allhear allknow,verily allhearer allknower
Surah Ash-Shu'ara',Shall I inform you (O people!) upon whom the Shayatin (devils) descend?,26:221,shall inform people upon shayatin devils descend,shall inform peopl upon shayatin devil descend,shall inform people upon shayatin devil descend
Surah Ash-Shu'ara',"They descend on every lying (one who tells lies), sinful person.",26:222,descend every lying one tells lies sinful person,descend everi lie one tell lie sin person,descend every lying one tell lie sinful person
Surah Ash-Shu'ara',"Who gives ear (to the devils and they pour what they may have heard of the unseen from the angels), and most of them are liars.",26:223,gives ear devils pour may heard unseen angels liars,give ear devil pour may heard unseen angel liar,give ear devil pour may heard unseen angel liar
Surah Ash-Shu'ara',"As for the poets, the erring follow them,",26:224,poets erring follow,poet er follow,poet erring follow
Surah Ash-Shu'ara',See you not that they speak about every subject (praising others right or wrong) in their poetry?,26:225,see speak every subject praising others right wrong poetry,see speak everi subject prais other right wrong poetri,see speak every subject praising others right wrong poetry
Surah Ash-Shu'ara',And that they say what they do not do.,26:226,say,say,say
Surah Ash-Shu'ara',"Except those who believe (in the Oneness of Allah Islamic Monotheism), and do righteous deeds, and remember Allah much, and reply back (in poetry) to the unjust poetry (which the pagan poets utter against the Muslims). And those who do wrong will come to know by what overturning they will be overturned.",26:227,except believe oneness allah islamic monotheism righteous deeds remember allah much reply back poetry unjust poetry pagan poets utter muslims wrong come know overturning overturned,except believ one allah islam monoth righteou deed rememb allah much repli back poetri unjust poetri pagan poet utter muslim wrong come know overturn overturn,except believe oneness allah islamic monotheism righteous deed remember allah much reply back poetry unjust poetry pagan poet utter muslim wrong come know overturning overturned
Surah An-Naml,"Ta-Sin. [These letters are one of the miracles of the Qur’an, and none but Allah (Alone) knows their meanings]. These are the Verses of the Qur’an, and (it is) a Book (that makes things) clear;",27:1,tasin letters one miracles quran none allah alone knows meanings verses quran book makes things clear,tasin letter one miracl quran none allah alon know mean vers quran book make thing clear,tasin letter one miracle quran none allah alone know meaning verse quran book make thing clear
Surah An-Naml,A guide (to the Right Path); and glad tidings for the believers [who believe in the Oneness of Allah (i.e. Islamic Monotheism)].,27:2,guide right path glad tidings believers believe oneness allah ie islamic monotheism,guid right path glad tide believ believ one allah ie islam monoth,guide right path glad tidings believer believe oneness allah ie islamic monotheism
Surah An-Naml,"Those who perform As-Salat (Iqamat-as-Salat) and give Zakat and they believe with certainty in the Hereafter (resurrection, recompense of their good and bad deeds, Paradise and Hell, etc.).",27:3,perform assalat iqamatassalat give zakat believe certainty hereafter resurrection recompense good bad deeds paradise hell etc,perform assalat iqamatassalat give zakat believ certainti hereaft resurrect recompens good bad deed paradis hell etc,perform assalat iqamatassalat give zakat believe certainty hereafter resurrection recompense good bad deed paradise hell etc
Surah An-Naml,"Verily, those who believe not in the Hereafter, We have made their deeds fair-seeming to them, so they wander about blindly.",27:4,verily believe hereafter made deeds fairseeming wander blindly,verili believ hereaft made deed fairseem wander blindli,verily believe hereafter made deed fairseeming wander blindly
Surah An-Naml,They are those for whom there will be an evil torment (in this world). And in the Hereafter they will be the greatest losers.,27:5,evil torment world hereafter greatest losers,evil torment world hereaft greatest loser,evil torment world hereafter greatest loser
Surah An-Naml,"And verily, you (O Muhammad ) are receiving the Qur’an from the One, All-Wise, All-Knowing.",27:6,verily muhammad receiving quran one allwise allknowing,verili muhammad receiv quran one allwis allknow,verily muhammad receiving quran one allwise allknowing
Surah An-Naml,"(Remember) when Musa (Moses) said to his household: “Verily! I have seen a fire, I will bring you from there some information, or I will bring you a burning brand, that you may warm yourselves.”",27:7,remember musa moses said household verily seen fire bring information bring burning brand may warm,rememb musa mose said household verili seen fire bring inform bring burn brand may warm,remember musa moses said household verily seen fire bring information bring burning brand may warm
Surah An-Naml,"But when he came to it, he was called: “Blessed is whosoever is in the fire, and whosoever is round about it! And glorified be Allah, the Lord of the ‘Alamin (mankind, jinns and all that exists).",27:8,came called blessed whosoever fire whosoever round glorified allah lord alamin mankind jinns exists,came call bless whosoev fire whosoev round glorifi allah lord alamin mankind jinn exist,came called blessed whosoever fire whosoever round glorified allah lord alamin mankind jinns exists
Surah An-Naml,"“O Musa (Moses)! Verily! It is I, Allah, the All-Mighty, the All-Wise.",27:9,musa moses verily allah allmighty allwise,musa mose verili allah allmighti allwis,musa moses verily allah allmighty allwise
Surah An-Naml,"“And throw down your stick!” But when he saw it moving as if it were a snake, he turned in flight, and did not look back. (It was said): “O Musa (Moses)! Fear not, verily! The Messengers fear not in front of Me.",27:10,throw stick saw moving snake turned flight look back said musa moses fear verily messengers fear front,throw stick saw move snake turn flight look back said musa mose fear verili messeng fear front,throw stick saw moving snake turned flight look back said musa moses fear verily messenger fear front
Surah An-Naml,"“Except him who has done wrong and afterwards has changed evil for good, then surely, I am Oft-Forgiving, Most Merciful.",27:11,except done wrong afterwards changed evil good surely oftforgiving merciful,except done wrong afterward chang evil good sure oftforgiv merci,except done wrong afterwards changed evil good surely oftforgiving merciful
Surah An-Naml,"“And put your hand into your bosom, it will come forth white without hurt. (These are) among the nine signs (you will take) to Fir’aun (Pharaoh) and his people, they are a people who are the Fasiqun (rebellious, disobedient to Allah).",27:12,put hand bosom come forth white without hurt among nine signs take firaun pharaoh people people fasiqun rebellious disobedient allah,put hand bosom come forth white without hurt among nine sign take firaun pharaoh peopl peopl fasiqun rebelli disobedi allah,put hand bosom come forth white without hurt among nine sign take firaun pharaoh people people fasiqun rebellious disobedient allah
Surah An-Naml,"But when Our Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) came to them, clear to see, they said: “This is a manifest magic.”",27:13,ayat proofs evidences verses lessons signs revelations etc came clear see said manifest magic,ayat proof evid vers lesson sign revel etc came clear see said manifest magic,ayat proof evidence verse lesson sign revelation etc came clear see said manifest magic
Surah An-Naml,"And they belied them (those Ayat) wrongfully and arrogantly, though their ownselves were convinced thereof [i.e. those (Ayat) are from Allah, and Musa (Moses) is the Messenger of Allah in truth, but they disliked to obey Musa (Moses), and hated to believe in his Message of Monotheism]. So see what was the end of the Mufsidun (disbelievers, disobedient to Allah, evil-doers, liars.).",27:14,belied ayat wrongfully arrogantly though ownselves convinced thereof ie ayat allah musa moses messenger allah truth disliked obey musa moses hated believe message monotheism see end mufsidun disbelievers disobedient allah evildoers liars,beli ayat wrong arrogantli though ownselv convinc thereof ie ayat allah musa mose messeng allah truth dislik obey musa mose hate believ messag monoth see end mufsidun disbeliev disobedi allah evildo liar,belied ayat wrongfully arrogantly though ownselves convinced thereof ie ayat allah musa moses messenger allah truth disliked obey musa moses hated believe message monotheism see end mufsidun disbeliever disobedient allah evildoer liar
Surah An-Naml,"And indeed We gave knowledge to Dawud (David) and Sulaiman (Solomon), and they both said: “All the praises and thanks be to Allah, Who has preferred us above many of His believing slaves!”",27:15,indeed gave knowledge dawud david sulaiman solomon said praises thanks allah preferred us many believing slaves,inde gave knowledg dawud david sulaiman solomon said prais thank allah prefer us mani believ slave,indeed gave knowledge dawud david sulaiman solomon said praise thanks allah preferred u many believing slave
Surah An-Naml,"And Sulaiman (Solomon) inherited (the knowledge of) Dawud (David). He said: “O mankind! We have been taught the language of birds, and on us have been bestowed all things. This, verily, is an evident grace (from Allah).”",27:16,sulaiman solomon inherited knowledge dawud david said mankind taught language birds us bestowed things verily evident grace allah,sulaiman solomon inherit knowledg dawud david said mankind taught languag bird us bestow thing verili evid grace allah,sulaiman solomon inherited knowledge dawud david said mankind taught language bird u bestowed thing verily evident grace allah
Surah An-Naml,"And there were gathered before Sulaiman (Solomon) his hosts of jinns and men, and birds, and they all were set in battle order (marching forwards).",27:17,gathered sulaiman solomon hosts jinns men birds set battle order marching forwards,gather sulaiman solomon host jinn men bird set battl order march forward,gathered sulaiman solomon host jinns men bird set battle order marching forward
Surah An-Naml,"Till, when they came to the valley of the ants, one of the ants said: “O ants! Enter your dwellings, lest Sulaiman (Solomon) and his hosts crush you, while they perceive not.”",27:18,till came valley ants one ants said ants enter dwellings lest sulaiman solomon hosts crush perceive,till came valley ant one ant said ant enter dwell lest sulaiman solomon host crush perceiv,till came valley ant one ant said ant enter dwelling lest sulaiman solomon host crush perceive
Surah An-Naml,"So he [Sulaiman (Solomon)] smiled, amused at her speech and said: “My Lord! Inspire and bestow upon me the power and ability that I may be grateful for Your Favours which You have bestowed on me and on my parents, and that I may do righteous good deeds that will please You, and admit me by Your Mercy among Your righteous slaves.”",27:19,sulaiman solomon smiled amused speech said lord inspire bestow upon power ability may grateful favours bestowed parents may righteous good deeds please admit mercy among righteous slaves,sulaiman solomon smile amus speech said lord inspir bestow upon power abil may grate favour bestow parent may righteou good deed pleas admit merci among righteou slave,sulaiman solomon smiled amused speech said lord inspire bestow upon power ability may grateful favour bestowed parent may righteous good deed please admit mercy among righteous slave
Surah An-Naml,"He inspected the birds, and said: “What is the matter that I see not the hoopoe? Or is he among the absentees?",27:20,inspected birds said matter see hoopoe among absentees,inspect bird said matter see hoopo among absente,inspected bird said matter see hoopoe among absentee
Surah An-Naml,"“I will surely punish him with a severe torment, or slaughter him, unless he brings me a clear reason.”",27:21,surely punish severe torment slaughter unless brings clear reason,sure punish sever torment slaughter unless bring clear reason,surely punish severe torment slaughter unless brings clear reason
Surah An-Naml,"But the hoopoe stayed not long, he (came up and) said: “I have grasped (the knowledge of a thing) which you have not grasped and I have come to you from Saba’ (Sheba) with true news.",27:22,hoopoe stayed long came said grasped knowledge thing grasped come saba sheba true news,hoopo stay long came said grasp knowledg thing grasp come saba sheba true news,hoopoe stayed long came said grasped knowledge thing grasped come saba sheba true news
Surah An-Naml,"“I found a woman ruling over them, and she has been given all things that could be possessed by any ruler of the earth, and she has a great throne.",27:23,found woman ruling given things could possessed ruler earth great throne,found woman rule given thing could possess ruler earth great throne,found woman ruling given thing could possessed ruler earth great throne
Surah An-Naml,"“I found her and her people worshipping the sun instead of Allah, and Shaitan (Satan) has made their deeds fair-seeming to them, and has barred them from (Allah’s) Way, so they have no guidance,”",27:24,found people worshipping sun instead allah shaitan satan made deeds fairseeming barred allahs way guidance,found peopl worship sun instead allah shaitan satan made deed fairseem bar allah way guidanc,found people worshipping sun instead allah shaitan satan made deed fairseeming barred allah way guidance
Surah An-Naml,"Al-La (this word has two interpretations) (A) [As Shaitan (Satan) has barred them from Allah’s Way] so that they do not worship (prostrate before) Allah, or (B) So that they may worship (prostrate before) Allah, Who brings to light what is hidden in the heavens and the earth, and knows what you conceal and what you reveal. [Tafsir At-Tabari, Vol. 19, Page 149]",27:25,alla word two interpretations shaitan satan barred allahs way worship prostrate allah b may worship prostrate allah brings light hidden heavens earth knows conceal reveal tafsir attabari vol page,alla word two interpret shaitan satan bar allah way worship prostrat allah b may worship prostrat allah bring light hidden heaven earth know conceal reveal tafsir attabari vol page,alla word two interpretation shaitan satan barred allah way worship prostrate allah b may worship prostrate allah brings light hidden heaven earth know conceal reveal tafsir attabari vol page
Surah An-Naml,"Allah, La ilaha illa Huwa (none has the right to be worshipped but He), the Lord of the Supreme Throne!",27:26,allah la ilaha illa huwa none right worshipped lord supreme throne,allah la ilaha illa huwa none right worship lord suprem throne,allah la ilaha illa huwa none right worshipped lord supreme throne
Surah An-Naml,[Sulaiman (Solomon)] said: “We shall see whether you speak the truth or you are (one) of the liars.,27:27,sulaiman solomon said shall see whether speak truth one liars,sulaiman solomon said shall see whether speak truth one liar,sulaiman solomon said shall see whether speak truth one liar
Surah An-Naml,"“Go you with this letter of mine, and deliver it to them, then draw back from them, and see what (answer) they return.”",27:28,go letter mine deliver draw back see answer return,go letter mine deliv draw back see answer return,go letter mine deliver draw back see answer return
Surah An-Naml,"She said: “O chiefs! Verily! Here is delivered to me a noble letter,",27:29,said chiefs verily delivered noble letter,said chief verili deliv nobl letter,said chief verily delivered noble letter
Surah An-Naml,"“Verily! It is from Sulaiman (Solomon), and verily! It (reads): In the Name of Allah, the Most Beneficent, the Most Merciful;",27:30,verily sulaiman solomon verily reads name allah beneficent merciful,verili sulaiman solomon verili read name allah benefic merci,verily sulaiman solomon verily read name allah beneficent merciful
Surah An-Naml,"“Be you not exalted against me, but come to me as Muslims (true believers who submit to Allah with full submission)’ “",27:31,exalted come muslims true believers submit allah full submission,exalt come muslim true believ submit allah full submiss,exalted come muslim true believer submit allah full submission
Surah An-Naml,She said: “O chiefs! Advise me in (this) case of mine. I decide no case till you are present with me.”,27:32,said chiefs advise case mine decide case till present,said chief advis case mine decid case till present,said chief advise case mine decide case till present
Surah An-Naml,"They said: “We have great strength, and great ability for war, but it is for you to command; so think over what you will command.”",27:33,said great strength great ability war command think command,said great strength great abil war command think command,said great strength great ability war command think command
Surah An-Naml,"She said: “Verily! Kings, when they enter a town (country), they despoil it, and make the most honourable amongst its people low. And thus they do.",27:34,said verily kings enter town country despoil make honourable amongst people low thus,said verili king enter town countri despoil make honour amongst peopl low thu,said verily king enter town country despoil make honourable amongst people low thus
Surah An-Naml,"“But verily! I am going to send him a present, and see with what (answer) the messengers return.”",27:35,verily going send present see answer messengers return,verili go send present see answer messeng return,verily going send present see answer messenger return
Surah An-Naml,"So when (the messengers with the present) came to Sulaiman (Solomon), he said: “Will you help me in wealth? What Allah has given me is better than that which He has given you! Nay, you rejoice in your gift!”",27:36,messengers present came sulaiman solomon said help wealth allah given better given nay rejoice gift,messeng present came sulaiman solomon said help wealth allah given better given nay rejoic gift,messenger present came sulaiman solomon said help wealth allah given better given nay rejoice gift
Surah An-Naml,"[Then Sulaiman (Solomon) said to the chief of her messengers who brought the present]: “Go back to them. We verily shall come to them with hosts that they cannot resist, and we shall drive them out from there in disgrace, and they will be abased.”",27:37,sulaiman solomon said chief messengers brought present go back verily shall come hosts resist shall drive disgrace abased,sulaiman solomon said chief messeng brought present go back verili shall come host resist shall drive disgrac abas,sulaiman solomon said chief messenger brought present go back verily shall come host resist shall drive disgrace abased
Surah An-Naml,He said: “O chiefs! Which of you can bring me her throne before they come to me surrendering themselves in obedience?”,27:38,said chiefs bring throne come surrendering obedience,said chief bring throne come surrend obedi,said chief bring throne come surrendering obedience
Surah An-Naml,"An Ifrit (strong) from the jinns said: “I will bring it to you before you rise from your place (council). And verily, I am indeed strong, and trustworthy for such work.”",27:39,ifrit strong jinns said bring rise place council verily indeed strong trustworthy work,ifrit strong jinn said bring rise place council verili inde strong trustworthi work,ifrit strong jinns said bring rise place council verily indeed strong trustworthy work
Surah An-Naml,"One with whom was knowledge of the Scripture said: “I will bring it to you within the twinkling of an eye!” then when [Sulaiman (Solomon)] saw it placed before him, he said: “This is by the Grace of my Lord to test me whether I am grateful or ungrateful! And whoever is grateful, truly, his gratitude is for (the good of) his ownself, and whoever is ungrateful, (he is ungrateful only for the loss of his ownself). Certainly! My Lord is Rich (Free of all wants), Bountiful.”",27:40,one knowledge scripture said bring within twinkling eye sulaiman solomon saw placed said grace lord test whether grateful ungrateful whoever grateful truly gratitude good ownself whoever ungrateful ungrateful loss ownself certainly lord rich free wants bountiful,one knowledg scriptur said bring within twinkl eye sulaiman solomon saw place said grace lord test whether grate ungrat whoever grate truli gratitud good ownself whoever ungrat ungrat loss ownself certainli lord rich free want bounti,one knowledge scripture said bring within twinkling eye sulaiman solomon saw placed said grace lord test whether grateful ungrateful whoever grateful truly gratitude good ownself whoever ungrateful ungrateful loss ownself certainly lord rich free want bountiful
Surah An-Naml,"He said: “Disguise her throne for her that we may see whether she will be guided (to recognise her throne), or she will be one of those not guided.”",27:41,said disguise throne may see whether guided recognise throne one guided,said disguis throne may see whether guid recognis throne one guid,said disguise throne may see whether guided recognise throne one guided
Surah An-Naml,"So when she came, it was said (to her): “Is your throne like this?” She said: “(It is) as though it were the very same.” And [Sulaiman (Solomon) said]: “Knowledge was bestowed on us before her, and we were submitted to Allah (in Islam as Muslims before her).”",27:42,came said throne like said though sulaiman solomon said knowledge bestowed us submitted allah islam muslims,came said throne like said though sulaiman solomon said knowledg bestow us submit allah islam muslim,came said throne like said though sulaiman solomon said knowledge bestowed u submitted allah islam muslim
Surah An-Naml,"And that which she used to worship besides Allah has prevented her (from Islam), for she was of a disbelieving people.",27:43,used worship besides allah prevented islam disbelieving people,use worship besid allah prevent islam disbeliev peopl,used worship besides allah prevented islam disbelieving people
Surah An-Naml,"It was said to her: “Enter As-Sarh” [(a glass surface with water underneath it) or a palace], but when she saw it, she thought it was a pool, and she (tucked up her clothes) uncovering her legs, Sulaiman (Solomon) said: “Verily, it is Sarh [(a glass surface with water underneath it) or a palace] paved smooth with slab of glass.” She said: “My Lord! Verily, I have wronged myself, and I submit (in Islam, together with Sulaiman (Solomon), to Allah, the Lord of the ‘Alamin (mankind, jinns and all that exists).”",27:44,said enter assarh glass surface water underneath palace saw thought pool tucked clothes uncovering legs sulaiman solomon said verily sarh glass surface water underneath palace paved smooth slab glass said lord verily wronged submit islam together sulaiman solomon allah lord alamin mankind jinns exists,said enter assarh glass surfac water underneath palac saw thought pool tuck cloth uncov leg sulaiman solomon said verili sarh glass surfac water underneath palac pave smooth slab glass said lord verili wrong submit islam togeth sulaiman solomon allah lord alamin mankind jinn exist,said enter assarh glass surface water underneath palace saw thought pool tucked clothes uncovering leg sulaiman solomon said verily sarh glass surface water underneath palace paved smooth slab glass said lord verily wronged submit islam together sulaiman solomon allah lord alamin mankind jinns exists
Surah An-Naml,"And indeed We sent to Thamud their brother Salih (Saleh), saying: “Worship Allah (Alone and none else). Then look! They became two parties (believers and disbelievers) quarreling with each other.”",27:45,indeed sent thamud brother salih saleh saying worship allah alone none else look became two parties believers disbelievers quarreling,inde sent thamud brother salih saleh say worship allah alon none els look becam two parti believ disbeliev quarrel,indeed sent thamud brother salih saleh saying worship allah alone none else look became two party believer disbeliever quarreling
Surah An-Naml,"He said: “O my people! Why do you seek to hasten the evil (torment) before the good (Allah’s Mercy)? Why seek you not the Forgiveness of Allah, that you may receive mercy?”",27:46,said people seek hasten evil torment good allahs mercy seek forgiveness allah may receive mercy,said peopl seek hasten evil torment good allah merci seek forgiv allah may receiv merci,said people seek hasten evil torment good allah mercy seek forgiveness allah may receive mercy
Surah An-Naml,"They said: “We augur ill omen from you and those with you.” He said: “Your ill omen is with Allah; nay, but you are a people that are being tested.”",27:47,said augur ill omen said ill omen allah nay people tested,said augur ill omen said ill omen allah nay peopl test,said augur ill omen said ill omen allah nay people tested
Surah An-Naml,"And there were in the city nine men (from the sons of their chiefs), who made mischief in the land, and would not reform.",27:48,city nine men sons chiefs made mischief land would reform,citi nine men son chief made mischief land would reform,city nine men son chief made mischief land would reform
Surah An-Naml,"They said: “Swear one to another by Allah that we shall make a secret night attack on him and his household, and afterwards we will surely say to his near relatives: ‘We witnessed not the destruction of his household, and verily! We are telling the truth.'”",27:49,said swear one another allah shall make secret night attack household afterwards surely say near relatives witnessed destruction household verily telling truth,said swear one anoth allah shall make secret night attack household afterward sure say near rel wit destruct household verili tell truth,said swear one another allah shall make secret night attack household afterwards surely say near relative witnessed destruction household verily telling truth
Surah An-Naml,"So they plotted a plot, and We planned a plan, while they perceived not.",27:50,plotted plot planned plan perceived,plot plot plan plan perceiv,plotted plot planned plan perceived
Surah An-Naml,"Then see how was the end of their plot! Verily! We destroyed them and their nation, all together.",27:51,see end plot verily destroyed nation together,see end plot verili destroy nation togeth,see end plot verily destroyed nation together
Surah An-Naml,"These are their houses in utter ruin, for they did wrong. Verily, in this is indeed an Ayah (a lesson or a sign) for people who know.",27:52,houses utter ruin wrong verily indeed ayah lesson sign people know,hous utter ruin wrong verili inde ayah lesson sign peopl know,house utter ruin wrong verily indeed ayah lesson sign people know
Surah An-Naml,"And We saved those who believed, and used to fear Allah, and keep their duty to Him.",27:53,saved believed used fear allah keep duty,save believ use fear allah keep duti,saved believed used fear allah keep duty
Surah An-Naml,"And (remember) Lout (Lot)! When he said to his people . Do you commit Al-Fahishah (evil, great sin, every kind of unlawful sexual intercourse, sodomy, etc.) while you see (one another doing evil without any screen, etc.)?”",27:54,remember lout lot said people commit alfahishah evil great sin every kind unlawful sexual intercourse sodomy etc see one another evil without screen etc,rememb lout lot said peopl commit alfahishah evil great sin everi kind unlaw sexual intercours sodomi etc see one anoth evil without screen etc,remember lout lot said people commit alfahishah evil great sin every kind unlawful sexual intercourse sodomy etc see one another evil without screen etc
Surah An-Naml,"“Do you approach men in your lusts rather than women? Nay, but you are a people who behave senselessly.”",27:55,approach men lusts rather women nay people behave senselessly,approach men lust rather women nay peopl behav senselessli,approach men lust rather woman nay people behave senselessly
