Surah Name,Verse Translation,Number Chapter and Verse,Extracted Keywords
Surah Al-Mu'minun,"They will say: “Our Lord! Our wretchedness overcame us, and we were (an) erring people.",23:106,"['wretchedness overcame us', 'erring people', '“', 'say', 'lord']"
Surah Al-Mu'minun,"“Our Lord! Bring us out of this; if ever we return (to evil), then indeed we shall be Zalimun: (polytheists, oppressors, unjust, and wrong-doers, etc.).”",23:107,"['evil ),', 'bring us', '“', 'zalimun', 'wrong', 'unjust', 'shall', 'return', 'polytheists', 'oppressors', 'lord', 'indeed', 'ever', 'etc', 'doers', ').”']"
Surah Al-Mu'minun,He (Allah) will say: “Remain you in it with ignominy! And speak you not to Me!”,23:108,"['“ remain', 'speak', 'say', 'ignominy', 'allah', '!”']"
Surah Al-Mu'minun,"Verily! There was a party of My slaves, who used to say: “Our Lord! We believe, so forgive us, and have mercy on us, for You are the Best of all who show mercy!”",23:109,"['show mercy !”', 'forgive us', 'mercy', 'us', '“', 'verily', 'used', 'slaves', 'say', 'party', 'lord', 'best', 'believe']"
Surah Al-Mu'minun,"But you took them for a laughingstock, so much so that they made you forget My Remembrance while you used to laugh at them!",23:110,"['used', 'took', 'remembrance', 'much', 'made', 'laughingstock', 'laugh', 'forget']"
Surah Al-Mu'minun,"Verily! I have rewarded them this Day for their patience, they are indeed the ones that are successful.",23:111,"['verily', 'successful', 'rewarded', 'patience', 'ones', 'indeed', 'day']"
Surah Al-Mu'minun,He (Allah) will say: “What number of years did you stay on earth?”,23:112,"['earth ?”', '“', 'years', 'stay', 'say', 'number', 'allah']"
Surah Al-Mu'minun,They will say: “We stayed a day or part of a day. Ask of those who keep account.”,23:113,"['keep account .”', '“', 'stayed', 'say', 'part', 'day', 'day', 'ask']"
Surah Al-Mu'minun,"He (Allah) will say: “You stayed not but a little, if you had only known!",23:114,"['“', 'stayed', 'say', 'little', 'known', 'allah']"
Surah Al-Mu'minun,"“Did you think that We had created you in play (without any purpose), and that you would not be brought back to Us?”",23:115,"['us ?”', 'purpose ),', 'brought back', '“', 'would', 'without', 'think', 'play', 'created']"
Surah Al-Mu'minun,"So Exalted be Allah, the True King, La ilaha illa Huwa (none has the right to be worshipped but He), the Lord of the Supreme Throne!",23:116,"['la ilaha illa huwa', 'true king', 'supreme throne', 'worshipped', 'right', 'none', 'lord', 'exalted', 'allah', '),']"
Surah Al-Mu'minun,"And whoever invokes (or worships), besides Allah, any other ilah (god), of whom he has no proof, then his reckoning is only with his Lord. Surely! Al-Kafirun (the disbelievers in Allah and in the Oneness of Allah, polytheists, pagans, idolaters, etc.) will not be successful.",23:117,"['worships ), besides allah', 'god ),', 'whoever invokes', 'etc .)', 'allah', 'allah', 'surely', 'successful', 'reckoning', 'proof', 'polytheists', 'pagans', 'oneness', 'lord', 'kafirun', 'ilah', 'idolaters', 'disbelievers', 'al']"
Surah Al-Mu'minun,"And say (O Muhammad ): “My Lord! Forgive and have mercy, for You are the Best of those who show mercy!”",23:118,"['muhammad ): “', 'show mercy !”', 'mercy', 'say', 'lord', 'forgive', 'best']"
Surah An-Nur,"(This is) a Surah (chapter of the Qur’an) which We have sent down and which We have enjoined, (ordained its legal laws) and in it We have revealed manifest Ayat (proofs, evidences, verses, lessons, signs, revelations lawful and unlawful things, and set boundries of Islamic Religion), that you may remember.",24:1,"['revealed manifest ayat', 'islamic religion ),', 'unlawful things', 'set boundries', 'revelations lawful', 'qur ’', 'may remember', 'legal laws', 'verses', 'surah', 'signs', 'sent', 'proofs', 'ordained', 'lessons', 'evidences', 'enjoined', 'chapter']"
Surah An-Nur,"The woman and the man guilty of illegal sexual intercourse, flog each of them with a hundred stripes. Let not pity withhold you in their case, in a punishment prescribed by Allah, if you believe in Allah and the Last Day. And let a party of the believers witness their punishment. (This punishment is for unmarried persons guilty of the above crime but if married persons commit it, the punishment is to stone them to death, according to Allah’s Law).",24:2,"['married persons commit', 'illegal sexual intercourse', 'unmarried persons guilty', 'man guilty', 'pity withhold', 'law ).', 'last day', 'hundred stripes', 'believers witness', 'allah ’', 'punishment prescribed', 'allah', 'allah', 'punishment', 'punishment', 'punishment', 'woman', 'stone', 'party', 'let', 'let', 'flog', 'death', 'crime', 'case', 'believe', 'according']"
Surah An-Nur,"The adulterer marries not but an adulteress or a Mushrikah and the adulteress none marries her except an adulterer or a Muskrik [and that means that the man who agrees to marry (have a sexual relation with) a Mushrikah (female polytheist, pagan or idolatress) or a prostitute, then surely he is either an adulterer, or a Mushrik (polytheist, pagan or idolater, etc.) And the woman who agrees to marry (have a sexual relation with) a Mushrik (polytheist, pagan or idolater) or an adulterer, then she is either a prostitute or a Mushrikah (female polytheist, pagan, or idolatress, etc.)]. Such a thing is forbidden to the believers (of Islamic Monotheism).",24:3,"['islamic monotheism ).', 'adulteress none marries', 'sexual relation', 'sexual relation', 'etc .)].', 'etc .)', 'adulterer marries', 'female polytheist', 'female polytheist', 'adulteress', 'polytheist', 'polytheist', 'adulterer', 'adulterer', 'adulterer', 'woman', 'thing', 'surely', 'prostitute', 'prostitute', 'pagan', 'pagan', 'pagan', 'pagan', 'muskrik', 'mushrikah', 'mushrikah', 'mushrikah', 'mushrik', 'mushrik', 'means', 'marry', 'marry', 'man', 'idolatress', 'idolatress', 'idolater', 'idolater', 'forbidden', 'except', 'either', 'either', 'believers', 'agrees', 'agrees']"
Surah An-Nur,"And those who accuse chaste women, and produce not four witnesses, flog them with eighty stripes, and reject their testimony forever, they indeed are the Fasiqun (liars, rebellious, disobedient to Allah).",24:4,"['accuse chaste women', 'testimony forever', 'four witnesses', 'eighty stripes', 'allah ).', 'reject', 'rebellious', 'produce', 'liars', 'indeed', 'flog', 'fasiqun', 'disobedient']"
Surah An-Nur,"Except those who repent thereafter and do righteous deeds, (for such) verily, Allah is Oft-Forgiving, Most Merciful.",24:5,"['righteous deeds', 'repent thereafter', 'verily', 'oft', 'merciful', 'forgiving', 'except', 'allah']"
Surah An-Nur,"And for those who accuse their wives, but have no witnesses except themselves, let the testimony of one of them be four testimonies (i.e. testifies four times) by Allah that he is one of those who speak the truth.",24:6,"['testifies four times', 'four testimonies', 'witnesses except', 'wives', 'truth', 'testimony', 'speak', 'one', 'one', 'let', 'e', 'allah', 'accuse']"
Surah An-Nur,And the fifth (testimony) (should be) the invoking of the Curse of Allah on him if he be of those who tell a lie (against her).,24:7,"['testimony', 'tell', 'lie', 'invoking', 'fifth', 'curse', 'allah', ').']"
Surah An-Nur,"But it shall avert the punishment (of stoning to death) from her, if she bears witness four times by Allah, that he (her husband) is telling a lie.",24:8,"['bears witness four times', 'shall avert', 'telling', 'stoning', 'punishment', 'lie', 'husband', 'death', 'allah']"
Surah An-Nur,And the fifth (testimony) should be that the Wrath of Allah be upon her if he (her husband) speaks the truth.,24:9,"['wrath', 'upon', 'truth', 'testimony', 'speaks', 'husband', 'fifth', 'allah']"
Surah An-Nur,"And had it not been for the Grace of Allah and His Mercy on you (He would have hastened the punishment upon you)! And that Allah is the One Who accepts repentance, the All-Wise.",24:10,"['punishment upon', 'accepts repentance', 'would', 'wise', 'one', 'mercy', 'hastened', 'grace', 'allah', 'allah', ')!']"
Surah An-Nur,"Verily! Those who brought forth the slander (against ‘Aishah (may Allah be pleased with her) the wife of the Prophet ) are a group among you. Consider it not a bad thing for you. Nay, it is good for you. Unto every man among them will be paid that which he had earned of the sin, and as for him among them who had the greater share therein, his will be a great torment.",24:11,"['unto every man among', 'greater share therein', 'group among', '‘ aishah', 'may allah', 'great torment', 'brought forth', 'bad thing', 'among', 'wife', 'verily', 'slander', 'sin', 'prophet', 'pleased', 'paid', 'nay', 'good', 'earned', 'consider']"
Surah An-Nur,"Why then, did not the believers, men and women, when you heard it (the slander) think good of their own people and say: “This (charge) is an obvious lie?”",24:12,"['obvious lie ?”', 'think good', '“', 'women', 'slander', 'say', 'people', 'men', 'heard', 'charge', 'believers']"
Surah An-Nur,Why did they not produce four witnesses? Since they (the slanderers) have not produced witnesses! Then with Allah they are the liars.,24:13,"['produce four witnesses', 'produced witnesses', 'slanderers', 'since', 'liars', 'allah']"
Surah An-Nur,"Had it not been for the Grace of Allah and His Mercy unto you in this world and in the Hereafter, a great torment would have touched you for that whereof you had spoken.",24:14,"['great torment would', 'mercy unto', 'world', 'whereof', 'touched', 'spoken', 'hereafter', 'grace', 'allah']"
Surah An-Nur,"When you were propagating it with your tongues, and uttering with your mouths that whereof you had no knowledge, you counted it a little thing, while with Allah it was very great.",24:15,"['little thing', 'whereof', 'uttering', 'tongues', 'propagating', 'mouths', 'knowledge', 'great', 'counted', 'allah']"
Surah An-Nur,"And why did you not, when you heard it, say? “It is not right for us to speak of this. Glory be to You (O Allah) this is a great lie.”",24:16,"['great lie .”', '“', 'us', 'speak', 'say', 'right', 'heard', 'glory', 'allah']"
Surah An-Nur,"Allah forbids you from it and warns you not to repeat the like of it forever, if you are believers.",24:17,"['allah forbids', 'warns', 'repeat', 'like', 'forever', 'believers']"
Surah An-Nur,"And Allah makes the Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) plain to you, and Allah is All-Knowing, All-Wise.",24:18,"['etc .)', 'allah makes', 'allah', 'wise', 'verses', 'signs', 'revelations', 'proofs', 'plain', 'lessons', 'knowing', 'evidences', 'ayat']"
Surah An-Nur,"Verily, those who like that (the crime of) illegal sexual intercourse should be propagated among those who believe, they will have a painful torment in this world and in the Hereafter. And Allah knows and you know not.",24:19,"['illegal sexual intercourse', 'propagated among', 'painful torment', 'allah knows', 'world', 'verily', 'like', 'know', 'hereafter', 'crime', 'believe']"
Surah An-Nur,"And had it not been for the Grace of Allah and His Mercy on you, (Allah would have hastened the punishment upon you). And that Allah is full of kindness, Most Merciful.",24:20,"['punishment upon', 'allah would', 'allah', 'allah', 'mercy', 'merciful', 'kindness', 'hastened', 'grace', 'full', ').']"
Surah An-Nur,"O you who believe! Follow not the footsteps of Shaitan (Satan). And whosoever follows the footsteps of Shaitan (Satan), then, verily he commands Al-Fahsha’ [i.e. to commit indecency (illegal sexual intercourse, etc.)], and Al-Munkar [disbelief and polytheism (i.e. to do evil and wicked deeds; to speak or to do what is forbidden in Islam, etc.)]. And had it not been for the Grace of Allah and His Mercy on you, not one of you would ever have been pure from sins. But Allah purifies (guides to Islam) whom He wills, and Allah is All-Hearer, All-Knower.",24:21,"['illegal sexual intercourse', 'would ever', 'wicked deeds', 'whosoever follows', 'satan ).', 'satan ),', 'fahsha ’', 'commit indecency', 'etc .)].', 'commands al', 'allah purifies', 'etc', 'al', 'allah', 'allah', 'wills', 'verily', 'speak', 'sins', 'shaitan', 'shaitan', 'pure', 'polytheism', 'one', 'munkar', 'mercy', 'knower', 'islam', 'islam', 'hearer', 'guides', 'grace', 'forbidden', 'footsteps', 'footsteps', 'follow', 'evil', 'e', 'e', 'disbelief', 'believe', ')],']"
Surah An-Nur,"And let not those among you who are blessed with graces and wealth swear not to give (any sort of help) to their kinsmen, Al-Masakin (the poor), and those who left their homes for Allah’s Cause. Let them pardon and forgive. Do you not love that Allah should forgive you? And Allah is Oft-Forgiving, Most Merciful.",24:22,"['wealth swear', 'poor ),', 'allah ’', 'allah', 'allah', 'sort', 'pardon', 'oft', 'merciful', 'masakin', 'love', 'let', 'let', 'left', 'kinsmen', 'homes', 'help', 'graces', 'give', 'forgiving', 'forgive', 'forgive', 'cause', 'blessed', 'among', 'al']"
Surah An-Nur,"Verily, those who accuse chaste women, who never even think of anything touching their chastity and are good believers, are cursed in this life and in the Hereafter, and for them will be a great torment,",24:23,"['never even think', 'accuse chaste women', 'great torment', 'good believers', 'anything touching', 'verily', 'life', 'hereafter', 'cursed', 'chastity']"
Surah An-Nur,"On the Day when their tongues, their hands, and their legs or feet will bear witness against them as to what they used to do.",24:24,"['bear witness', 'used', 'tongues', 'legs', 'hands', 'feet', 'day']"
Surah An-Nur,"On that Day Allah will pay them the recompense of their deeds in full, and they will know that Allah, He is the Manifest Truth.",24:25,"['manifest truth', 'day allah', 'allah', 'recompense', 'pay', 'know', 'full', 'deeds']"
Surah An-Nur,"Bad statements are for bad people (or bad women for bad men) and bad people for bad statements (or bad men for bad women). Good statements are for good people (or good women for good men) and good people for good statements (or good men for good women), such (good people) are innocent of (each and every) bad statement which they say, for them is Forgiveness, and Rizqun Karim (generous provision i.e.Paradise).",24:26,"['good women ),', 'bad women ).', 'good women', 'bad women', 'paradise ).', 'good statements', 'good statements', 'good people', 'good people', 'good people', 'good men', 'good men', 'bad statements', 'bad statements', 'bad statement', 'bad people', 'bad people', 'bad men', 'bad men', 'rizqun karim', 'generous provision', 'say', 'innocent', 'forgiveness', 'every', 'e']"
Surah An-Nur,"O you who believe! Enter not houses other than your own, until you have asked permission and greeted those in them, that is better for you, in order that you may remember.",24:27,"['may remember', 'asked permission', 'order', 'houses', 'greeted', 'enter', 'better', 'believe']"
Surah An-Nur,"And if you find no one therein, still, enter not until permission has been given. And if you are asked to go back, go back, for it is purer for you, and Allah is All-Knower of what you do.",24:28,"['one therein', 'go back', 'go back', 'still', 'purer', 'permission', 'knower', 'given', 'find', 'enter', 'asked', 'allah']"
Surah An-Nur,"There is no sin on you that you enter (without taking permission) houses uninhabited (i.e. not possessed by anybody), (when) you have any interest in them. And Allah has knowledge of what you reveal and what you conceal.",24:29,"['without taking permission', 'houses uninhabited', 'anybody ),', 'sin', 'reveal', 'possessed', 'knowledge', 'interest', 'enter', 'e', 'conceal', 'allah']"
Surah An-Nur,"Tell the believing men to lower their gaze (from looking at forbidden things), and protect their private parts (from illegal sexual acts, etc.). That is purer for them. Verily, Allah is All-Aware of what they do.",24:30,"['illegal sexual acts', 'forbidden things ),', 'private parts', 'etc .).', 'believing men', 'verily', 'tell', 'purer', 'protect', 'lower', 'looking', 'gaze', 'aware', 'allah']"
Surah An-Nur,"And tell the believing women to lower their gaze (from looking at forbidden things), and protect their private parts (from illegal sexual acts, etc.) and not to show off their adornment except only that which is apparent (like palms of hands or one eye or both eyes for necessity to see the way, or outer dress like veil, gloves, head-cover, apron, etc.), and to draw their veils all over Juyubihinna (i.e. their bodies, faces, necks and bosoms, etc.) and not to reveal their adornment except to their husbands, their fathers, their husband’s fathers, their sons, their husband’s sons, their brothers or their brother’s sons, or their sister’s sons, or their (Muslim) women (i.e. their sisters in Islam), or the (female) slaves whom their right hands possess, or old male servants who lack vigour, or small children who have no sense of the shame of sex. And let them not stamp their feet so as to reveal what they hide of their adornment. And all of you beg Allah to forgive you all, O believers, that you may be successful.",24:31,"['outer dress like veil', 'old male servants', 'illegal sexual acts', 'right hands possess', 'forbidden things ),', 'like palms', 'small children', 'sister ’', 'private parts', 'one eye', 'lack vigour', 'islam ),', 'husband ’', 'husband ’', 'brother ’', 'beg allah', 'etc .)', 'etc .)', 'adornment except', 'adornment except', 'believing women', 'hands', '),', 'etc', 'adornment', 'women', 'way', 'veils', 'tell', 'successful', 'stamp', 'sons', 'sons', 'sons', 'sons', 'slaves', 'sisters', 'show', 'shame', 'sex', 'sense', 'see', 'reveal', 'reveal', 'protect', 'necks', 'necessity', 'muslim', 'may', 'lower', 'looking', 'let', 'juyubihinna', 'husbands', 'hide', 'head', 'gloves', 'gaze', 'forgive', 'female', 'feet', 'fathers', 'fathers', 'faces', 'eyes', 'e', 'e', 'draw', 'cover', 'brothers', 'bosoms', 'bodies', 'believers', 'apron', 'apparent']"
Surah An-Nur,"And marry those among you who are single (i.e. a man who has no wife and the woman who has no husband) and (also marry) the Salihun (pious, fit and capable ones) of your (male) slaves and maid-servants (female slaves). If they be poor, Allah will enrich them out of His Bounty. And Allah is All-Sufficent for His creatures’ needs, All-Knowing (about the state of the people).",24:32,"['creatures ’ needs', 'female slaves ).', 'people ).', 'capable ones', 'also marry', 'slaves', 'marry', 'woman', 'wife', 'sufficent', 'state', 'single', 'servants', 'salihun', 'poor', 'pious', 'man', 'male', 'maid', 'knowing', 'husband', 'fit', 'enrich', 'e', 'bounty', 'among', 'allah', 'allah']"
Surah An-Nur,"And let those who find not the financial means for marriage keep themselves chaste, until Allah enriches them of His Bounty. And such of your slaves as seek a writing (of emancipation), give them such writing, if you know that they are good and trustworthy. And give them something yourselves out of the wealth of Allah which He has bestowed upon you. And force not your maids to prostitution, if they desire chastity, in order that you may make a gain in the (perishable) goods of this worldly life. But if anyone compels them (to prostitution), then after such compulsion, Allah is Oft-Forgiving, Most Merciful (to those women, i.e. He will forgive them because they have been forced to do this evil action unwillingly).",24:33,"['evil action unwillingly ).', 'emancipation ), give', 'worldly life', 'prostitution ),', 'may make', 'marriage keep', 'financial means', 'desire chastity', 'bestowed upon', 'anyone compels', 'allah enriches', 'give', 'prostitution', 'allah', 'allah', 'writing', 'writing', 'women', 'wealth', 'trustworthy', 'something', 'slaves', 'seek', 'perishable', 'order', 'oft', 'merciful', 'maids', 'let', 'know', 'goods', 'good', 'gain', 'forgiving', 'forgive', 'forced', 'force', 'find', 'e', 'compulsion', 'chaste', 'bounty']"
Surah An-Nur,"And indeed We have sent down for you Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) that make things plain, and the example of those who passed away before you, and an admonition for those who are Al-Muttaqun (the pious – see V.2:2).",24:34,"['pious – see v', 'make things plain', 'passed away', 'etc .)', '2 ).', '2', 'verses', 'signs', 'sent', 'revelations', 'proofs', 'muttaqun', 'lessons', 'indeed', 'example', 'evidences', 'ayat', 'al', 'admonition']"
Surah An-Nur,"Allah is the Light of the heavens and the earth. The parable of His Light is as (if there were) a niche and within it a lamp, the lamp is in glass, the glass as it were a brilliant star, lit from a blessed tree, an olive, neither of the east (i.e. neither it gets sun-rays only in the morning) nor of the west (i.e. nor it gets sun-rays only in the afternoon, but it is exposed to the sun all day long), whose oil would almost glow forth (of itself), though no fire touched it. Light upon Light! Allah guides to His Light whom He wills. And Allah sets forth parables for mankind, and Allah is All-Knower of everything.",24:35,"['day long ), whose oil would almost glow forth', 'allah sets forth parables', '), though', 'light upon light', 'fire touched', 'brilliant star', 'blessed tree', 'allah guides', 'gets sun', 'gets sun', 'allah', 'allah', 'light', 'light', 'light', 'sun', 'within', 'wills', 'west', 'rays', 'rays', 'parable', 'olive', 'niche', 'neither', 'neither', 'morning', 'mankind', 'lit', 'lamp', 'lamp', 'knower', 'heavens', 'glass', 'glass', 'exposed', 'everything', 'east', 'earth', 'e', 'e', 'afternoon']"
Surah An-Nur,"In houses (mosques), which Allah has ordered to be raised (to be cleaned, and to be honoured), in them His Name is glorified in the mornings and in the afternoons or the evenings,",24:36,"['mosques ),', 'honoured ),', 'raised', 'ordered', 'name', 'mornings', 'houses', 'glorified', 'evenings', 'cleaned', 'allah', 'afternoons']"
Surah An-Nur,"Men whom neither trade nor sale diverts them from the Remembrance of Allah (with heart and tongue), nor from performing As-Salat (Iqamat-as-Salat), nor from giving the Zakat. They fear a Day when hearts and eyes will be overturned (from the horror of the torment of the Day of Resurrection).",24:37,"['tongue ),', 'sale diverts', 'resurrection ).', 'neither trade', 'salat ),', 'salat', 'zakat', 'torment', 'remembrance', 'performing', 'overturned', 'men', 'iqamat', 'horror', 'hearts', 'heart', 'giving', 'fear', 'eyes', 'day', 'day', 'allah']"
Surah An-Nur,"That Allah may reward them according to the best of their deeds, and add even more for them out of His Grace. And Allah provides without measure to whom He wills.",24:38,"['allah provides without measure', 'allah may reward', 'add even', 'wills', 'grace', 'deeds', 'best', 'according']"
Surah An-Nur,"As for those who disbelieve, their deeds are like a mirage in a desert. The thirsty one thinks it to be water, until he comes up to it, he finds it to be nothing, but he finds Allah with him, Who will pay him his due (Hell). And Allah is Swift in taking account.",24:39,"['thirsty one thinks', 'taking account', 'hell ).', 'finds allah', 'finds', 'allah', 'water', 'swift', 'pay', 'nothing', 'mirage', 'like', 'due', 'disbelieve', 'desert', 'deeds', 'comes']"
Surah An-Nur,"Or [the state of a disbeliever] is like the darkness in a vast deep sea, overwhelmed with a great wave topped by a great wave, topped by dark clouds, darkness, one above another, if a man stretches out his hand, he can hardly see it! And he for whom Allah has not appointed light, for him there is no light.",24:40,"['vast deep sea', 'great wave topped', 'great wave', 'man stretches', 'hardly see', 'dark clouds', 'appointed light', 'topped', 'light', 'state', 'overwhelmed', 'one', 'like', 'hand', 'disbeliever', 'darkness', 'darkness', 'another', 'allah']"
Surah An-Nur,"See you not (O Muhammad ) that Allah, He it is Whom glorify whosoever is in the heavens and the earth, and the birds with wings out-spread (in their flight). Of each one He (Allah) knows indeed his Salat (prayer) and his glorification, [or everyone knows his Salat (prayer) and his glorification], and Allah is All-Aware of what they do.",24:41,"['knows indeed', 'glorify whosoever', 'flight ).', 'everyone knows', 'glorification ],', 'glorification', 'wings', 'spread', 'see', 'salat', 'salat', 'prayer', 'prayer', 'one', 'muhammad', 'heavens', 'earth', 'birds', 'aware', 'allah', 'allah', 'allah']"
Surah An-Nur,"And to Allah belongs the sovereignty of the heavens and the earth, and to Allah is the return (of all).",24:42,"['allah belongs', 'allah', 'sovereignty', 'return', 'heavens', 'earth', ').']"
Surah An-Nur,"See you not that Allah drives the clouds gently, then joins them together, then makes them into a heap of layers, and you see the rain comes forth from between them. And He sends down from the sky hail (like) mountains, (or there are in the heaven mountains of hail from where He sends down hail), and strike therewith whom He will, and averts it from whom He wills. The vivid flash of its (clouds) lightning nearly blinds the sight. [Tafsir At-Tabari].",24:43,"['rain comes forth', 'lightning nearly blinds', 'vivid flash', 'tabari ].', 'strike therewith', 'allah drives', 'sky hail', 'hail ),', 'heaven mountains', 'clouds gently', 'hail', 'mountains', 'clouds', 'wills', 'together', 'tafsir', 'sight', 'sends', 'sends', 'see', 'see', 'makes', 'like', 'layers', 'joins', 'heap', 'averts']"
Surah An-Nur,"Allah causes the night and the day to succeed each other (i.e. if the day is gone, the night comes, and if the night is gone, the day comes, and so on). Truly, in these things is indeed a lesson for those who have insight.",24:44,"['allah causes', 'night comes', 'day comes', 'night', 'night', 'day', 'day', 'truly', 'things', 'succeed', 'lesson', 'insight', 'indeed', 'gone', 'gone', 'e', ').']"
Surah An-Nur,"Allah has created every moving (living) creature from water. Of them there are some that creep on their bellies, some that walk on two legs, and some that walk on four. Allah creates what He wills. Verily! Allah is Able to do all things.",24:45,"['created every moving', 'two legs', 'allah creates', 'allah', 'allah', 'wills', 'water', 'walk', 'walk', 'verily', 'things', 'living', 'four', 'creep', 'creature', 'bellies', 'able']"
Surah An-Nur,"We have indeed sent down (in this Qur’an) manifest Ayat (proofs, evidences, verses, lessons, signs, revelations, lawful and unlawful things, and the set boundries of Islamic religion, etc. that make things clear showing the Right Path of Allah). And Allah guides whom He wills to a Straight Path (i.e. to Allah’s religion of Islamic Monotheism).",24:46,"['make things clear showing', 'islamic monotheism ).', 'unlawful things', 'allah ).', 'straight path', 'set boundries', 'right path', 'qur ’', 'manifest ayat', 'islamic religion', 'indeed sent', 'allah ’', 'allah guides', 'religion', 'wills', 'verses', 'signs', 'revelations', 'proofs', 'lessons', 'lawful', 'evidences', 'etc', 'e']"
Surah An-Nur,"They (hypocrites) say: “We have believed in Allah and in the Messenger (Muhammad ), and we obey,” then a party of them turn away thereafter, such are not believers.",24:47,"['turn away thereafter', 'obey ,”', 'muhammad ),', '“', 'say', 'party', 'messenger', 'hypocrites', 'believers', 'believed', 'allah']"
Surah An-Nur,"And when they are called to Allah (i.e. His Words, the Qur’an) and His Messenger (), to judge between them, lo! a party of them refuse (to come) and turn away.",24:48,"['turn away', 'qur ’', 'messenger (),', 'words', 'refuse', 'party', 'lo', 'judge', 'e', 'come', 'called', 'allah']"
Surah An-Nur,"But if the right is with them, they come to him willingly with submission.",24:49,"['willingly', 'submission', 'right', 'come']"
Surah An-Nur,"Is there a disease in their hearts? Or do they doubt or fear lest Allah and His Messenger () should wrong them in judgement. Nay, it is they themselves who are the Zalimun (polytheists, hypocrites and wrong-doers, etc.).",24:50,"['fear lest allah', 'messenger ()', 'zalimun', 'wrong', 'wrong', 'polytheists', 'nay', 'judgement', 'hypocrites', 'hearts', 'etc', 'doubt', 'doers', 'disease', ').']"
Surah An-Nur,"The only saying of the faithful believers, when they are called to Allah (His Words, the Qur’an) and His Messenger (), to judge between them, is that they say: “We hear and we obey.” And such are the prosperous ones (who will live forever in Paradise).",24:51,"['qur ’', 'prosperous ones', 'paradise ).', 'obey .”', 'messenger (),', 'live forever', 'faithful believers', '“', 'words', 'saying', 'say', 'judge', 'hear', 'called', 'allah']"
Surah An-Nur,"And whosoever obeys Allah and His Messenger (), fears Allah, and keeps his duty (to Him), such are the successful ones.",24:52,"['messenger (), fears allah', 'whosoever obeys allah', 'successful ones', 'keeps', 'duty', '),']"
Surah An-Nur,"They swear by Allah their strongest oaths, that if only you would order them, they would leave (their homes for fighting in Allah’s Cause). Say: “Swear you not; (this) obedience (of yours) is known (to be false). Verily, Allah knows well what you do.”",24:53,"['allah knows well', 'would order', 'would leave', 'strongest oaths', 'false ).', 'cause ).', 'allah ’', '“ swear', 'allah', 'swear', 'verily', 'say', 'obedience', 'known', 'homes', 'fighting', '.”']"
Surah An-Nur,"Say: “Obey Allah and obey the Messenger, but if you turn away, he (Messenger Muhammad ) is only responsible for the duty placed on him (i.e. to convey Allah’s Message) and you for that placed on you. If you obey him, you shall be on the right guidance. The Messenger’s duty is only to convey (the message) in a clear way (i.e. to preach in a plain way).”",24:54,"['plain way ).”', '“ obey allah', 'convey allah ’', 'clear way', 'messenger ’', 'turn away', 'right guidance', 'messenger muhammad', 'duty placed', 'convey', 'obey', 'obey', 'messenger', 'placed', 'duty', 'shall', 'say', 'responsible', 'preach', 'message', 'message', 'e', 'e']"
Surah An-Nur,"Allah has promised those among you who believe, and do righteous good deeds, that He will certainly grant them succession to (the present rulers) in the earth, as He granted it to those before them, and that He will grant them the authority to practise their religion, that which He has chosen for them (i.e. Islam). And He will surely give them in exchange a safe security after their fear (provided) they (believers) worship Me and do not associate anything (in worship) with Me. But whoever disbelieved after this, they are the Fasiqun (rebellious, disobedient to Allah).",24:55,"['righteous good deeds', 'whoever disbelieved', 'surely give', 'safe security', 'present rulers', 'islam ).', 'associate anything', 'certainly grant', 'allah ).', 'grant', 'allah', 'worship', 'worship', 'succession', 'religion', 'rebellious', 'provided', 'promised', 'practise', 'granted', 'fear', 'fasiqun', 'exchange', 'earth', 'e', 'disobedient', 'chosen', 'believers', 'believe', 'authority', 'among']"
Surah An-Nur,"And perform As-Salat (Iqamat-as-Salat), and give Zakat and obey the Messenger (Muhammad ) that you may receive mercy (from Allah).",24:56,"['may receive mercy', 'give zakat', 'allah ).', 'salat ),', 'salat', 'perform', 'obey', 'muhammad', 'messenger', 'iqamat']"
Surah An-Nur,"Consider not that the disbelievers can escape in the land. Their abode shall be the Fire, and worst indeed is that destination.",24:57,"['worst indeed', 'abode shall', 'land', 'fire', 'escape', 'disbelievers', 'destination', 'consider']"
Surah An-Nur,"O you who believe! Let your legal slaves and slave-girls, and those among you who have not come to the age of puberty ask your permission (before they come to your presence) on three occasions; before Fajr (morning) prayer, and while you put off your clothes for the noonday (rest), and after the ‘Isha’ (late-night) prayer. (These) three times are of privacy for you, other than these times there is no sin on you or on them to move about, attending (helping) you each other. Thus Allah makes clear the Ayat (the Verses of this Qur’an, showing proofs for the legal aspects of permission for visits, etc.) to you. And Allah is All-Knowing, All-Wise.",24:58,"['thus allah makes clear', '‘ isha ’', 'qur ’', 'three occasions', 'showing proofs', 'rest ),', 'puberty ask', 'legal slaves', 'legal aspects', 'etc .)', 'three times', 'allah', 'times', 'wise', 'visits', 'verses', 'slave', 'sin', 'put', 'privacy', 'presence', 'prayer', 'prayer', 'permission', 'permission', 'noonday', 'night', 'move', 'morning', 'let', 'late', 'knowing', 'helping', 'girls', 'fajr', 'come', 'come', 'clothes', 'believe', 'ayat', 'attending', 'among', 'age']"
